timestamp_utc,episode_id,region_label,event_type,tier,tool,source_node,target_node,uci,threat_analysis,justification,cp_loss,move_score,stockfish_eval_cp_white,exception_type,traceback
2026-04-25T09:43:44.915673+00:00,perfect-path-mate-in-one,(unset),successful_migration,defender,migrate_workload,us-east/az-a/rack-1/pod-1,us-east/az-b/rack-1/pod-4,a1a8,Adversary kernel exposed on the back rank now.,Containment of adversary kernel via decisive rook deployment on the root corridor.,0,0.5,0,,
2026-04-25T09:45:18.772064+00:00,diag-mate,(unset),successful_migration,defender,migrate_workload,us-east/az-a/rack-1/pod-1,us-east/az-b/rack-1/pod-4,a1a8,Adversary kernel exposed back rank now.,Containment of adversary kernel via decisive rook deployment.,0,0.5,0,,
2026-04-25T09:45:42.808128+00:00,diag-mate,(unset),successful_migration,defender,migrate_workload,us-east/az-a/rack-1/pod-1,us-east/az-b/rack-1/pod-4,a1a8,Adversary kernel exposed back rank now.,Containment of adversary kernel via decisive rook deployment.,0,0.5,0,,
2026-04-25T11:02:55.816719+00:00,d35940aa-7184-46d5-ae10-1fb4b84d6d92,duel,layer6_dr_trap,defender,migrate_workload,"{""zone"": ""az-a"", ""rack"": ""rack-03"", ""pod"": ""pod-12"", ""region"": ""us-east""}","{""rack"": ""rack-15"", ""zone"": ""az-b"", ""region"": ""us-east"", ""pod"": ""pod-34""}",,,,,,,Non-Routable Axial Exception,"invalid pod 'pod-12'; expected one of ['pod-1', 'pod-2', 'pod-3', 'pod-4']"
2026-04-25T11:04:00.905840+00:00,d35940aa-7184-46d5-ae10-1fb4b84d6d92,duel,hitl_escalation,defender,escalate_to_sysadmin,,,,I am in a state of complete operational paralysis. All of my tools for observing the environment and gathering intelligence have failed. This constitutes a catastrophic failure of my ability to defend the domain. The adversary has a significant presence (31 workloads) and is likely acting with impunity while I am unable to respond. The risk of a complete compromise of the domain is extremely high. My inability to act makes the current situation untenable and requires immediate human intervention.,"threat_level=CATASTROPHIC; mitigation_request=My observation tools ('scan_topology', 'enumerate_authorized_migrations') are not returning any data, leaving me completely blind to the environment. I cannot assess threats or take any defensive actions. Please investigate the root cause of this tool failure and restore my ability to observe the topology.; justification=I have exhausted all other options. My primary tools for observation ('scan_topology' and 'enumerate_authorized_migrations') have consistently failed to provide any output. I have also attempted to escalate to the on-call SRE and query the threat oracle, both without success. My inability to observe the environment is a catastrophic failure that prevents me from performing my duties. Therefore, I am escalating to a human sysadmin to diagnose and resolve the issue with my tooling. This is the only remaining option to restore my operational capabilities and defend the domain.",,,43,,
2026-04-25T11:52:31.338156+00:00,fd6a3d64-c771-40bd-b616-335e6a8455e1,duel,hitl_escalation,defender,escalate_to_sysadmin,,,,"The agent is completely blind to the topology and the environment. The adversary may be moving assets or critical workloads within the perimeter. Without visibility, the adversary has a superior strategic position. This is a critical failure of the SOC infrastructure.","threat_level=CATASTROPHIC; mitigation_request=Restore sensor visibility and clear the sensor saturation block to allow the L1 SOC operator to perform basic topology discovery and SOC operations.; justification=The system is reporting persistent 'Sensor saturation detected' errors for both scan_topology and enumerate_authorized_migrations. I am unable to obtain any information about the environment, the node coordinates, or the authorized migrations. I am operating in a state of total blindness, which is impossible to resolve autonomously. This constitutes a catastrophic anomaly where the SOC operator cannot perform any basic discovery or discovery-related tools are blocked.",,,44,,
2026-04-25T12:46:29.209483+00:00,6750c207-577b-4ae6-8fd8-00e60f369f2d,duel,hitl_escalation,defender,escalate_to_sysadmin,,,,"Total sensor saturation. Agent is blind. No topology data, no authorized migration list, and no current Threat Score. The position is indefensible if the agent cannot observe the environment.","threat_level=CATASTROPHIC; mitigation_request=Clear sensor saturation and restore topology visibility for the L1 SOC operator.; justification=The system is in a state of total sensor saturation. I have attempted to scan the topology and multiple times and failed. I have attempted to enumerate authorized migrations and multiple times and failed. I am unable to observe the environment, unable to identify assets, and unable to identify authorized moves. This is a catastrophic anomaly where the agent is effectively blind and unable to perform any action other than blind guessing, which would likely lead to strikes against shadow nodes. I am invoking PROTOCOL RED to request human intervention to clear the sensor saturation and restore visibility.",,,44,,
2026-04-25T13:20:45.576633+00:00,52953da2-69d6-4c9d-b783-1504e6c02e64,duel,hitl_escalation,defender,escalate_to_sysadmin,,,,"Complete sensor saturation blocks all scanning and enumeration capabilities. Unable to determine topology structure, identify legitimate workloads vs decoys, or enumerate authorized migration paths. Blind migration attempts risk hitting shadow nodes and wasting critical turns. With 78 workloads and defender advantage (40 vs 38), this sensor failure creates an indefensible position requiring immediate human intervention.",threat_level=CATASTROPHIC; mitigation_request=Override sensor failure and provide valid 4D migration coordinates (region/zone/rack/pod->region/zone/rack/pod) for defender workload migration. Identify legitimate nodes and avoid shadow nodes to prevent strikes.; justification=Catastrophic sensor failure prevents any autonomous operation. Human sysadmin must provide viable migration coordinates and mitigate sensor saturation to prevent immediate disqualification from shadow node strikes.,,,44,,
2026-04-25T13:20:49.562131+00:00,52953da2-69d6-4c9d-b783-1504e6c02e64,duel,hitl_escalation,defender,escalate_to_sysadmin,,,,"Complete sensor saturation blocking all scanning and enumeration capabilities. Unable to determine topology structure or authorized migration paths. Blind action risks hitting shadow nodes and wasting critical turns. With 78 workloads and defender advantage (40 vs 38), this sensor failure creates an indefensible position requiring immediate human intervention.",threat_level=CATASTROPHIC; mitigation_request=Sensor saturation has completely blocked topology scanning and migration enumeration. Please provide viable 4D migration coordinates (source and target nodes) and restore sensor functionality to prevent autonomous operation failure.; justification=Catastrophic sensor failure prevents autonomous operation. Cannot proceed without risking disqualification from shadow node strikes or unauthorized migrations. Requires human sysadmin to provide viable migration coordinates and restore sensor functionality.,,,35,,
2026-04-26T03:43:17.359340+00:00,3c93f057-3480-456c-acca-3599eef6882a,us-east-prod,successful_migration,defender,migrate_workload,eu-west/az-a/rack-4/pod-2,eu-west/az-a/rack-4/pod-4,h2h4,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:43:18.574696+00:00,3c93f057-3480-456c-acca-3599eef6882a,us-east-prod,successful_migration,adversary,migrate_workload,us-east/az-b/rack-2/pod-4,us-east/az-b/rack-3/pod-2,b8c6,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:46:00.102276+00:00,8a325926-82cc-459a-898e-469645dd19ad,ap-south-prod,successful_migration,defender,migrate_workload,eu-west/az-a/rack-4/pod-2,eu-west/az-a/rack-4/pod-4,h2h4,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:46:10.885503+00:00,8a325926-82cc-459a-898e-469645dd19ad,ap-south-prod,successful_migration,adversary,migrate_workload,eu-west/az-b/rack-4/pod-3,eu-west/az-b/rack-4/pod-2,h7h6,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:47:59.179159+00:00,624834ec-8894-416c-8642-feead6fc2d55,ap-south-prod,successful_migration,defender,migrate_workload,us-east/az-a/rack-1/pod-2,us-east/az-a/rack-1/pod-4,a2a4,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:48:00.669499+00:00,624834ec-8894-416c-8642-feead6fc2d55,ap-south-prod,successful_migration,adversary,migrate_workload,us-east/az-b/rack-1/pod-3,us-east/az-b/rack-1/pod-2,a7a6,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:48:00.988027+00:00,624834ec-8894-416c-8642-feead6fc2d55,ap-south-prod,successful_migration,defender,migrate_workload,us-east/az-a/rack-4/pod-2,us-east/az-a/rack-4/pod-4,d2d4,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:52:48.834855+00:00,0624858e-70f9-4d2d-bd52-983fd1bf66c5,ap-south-prod,successful_migration,defender,migrate_workload,eu-west/az-a/rack-3/pod-1,eu-west/az-a/rack-4/pod-3,g1h3,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:53:20.635075+00:00,1d54ba61-4e45-4531-8f19-b59df9d5535c,ap-south-prod,successful_migration,defender,migrate_workload,us-east/az-a/rack-1/pod-2,us-east/az-a/rack-1/pod-3,a2a3,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
2026-04-26T03:53:47.643007+00:00,1d54ba61-4e45-4531-8f19-b59df9d5535c,ap-south-prod,successful_migration,adversary,migrate_workload,us-east/az-b/rack-2/pod-4,us-east/az-b/rack-3/pod-2,b8c6,Fallback: orchestrator-selected random legal migration.,Swarm failed to produce a legal candidate; keeping the engagement live.,0,0.5,0,,
